exec_order,status,setting,experiment,method,data_setting,seed,switch_threshold,cuda_path,n_fail_checks,n_pass_checks,detail
23,FAIL,noniid,exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha0.5,42,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_42/phase1_cuda_rerun/20260716_003148/results.json,2,17,"[FAIL] final_communication_mb: mps=2578.125000  cuda=1863.125000  |Δ|=715.000000  (atol=0.01); [FAIL] switch_round_exact: mps=None  cuda=9  (hard match, no tolerance)"
24,FAIL,noniid,exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha0.5,123,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_123/phase1_cuda_rerun/20260716_013206/results.json,2,17,"[FAIL] final_communication_mb: mps=2578.125000  cuda=1863.125000  |Δ|=715.000000  (atol=0.01); [FAIL] switch_round_exact: mps=None  cuda=9  (hard match, no tolerance)"
25,FAIL,noniid,exp_two_phase_k8_noniid_alpha05,two_phase,noniid_alpha0.5,456,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_456/phase1_cuda_rerun/20260716_023251/results.json,2,17,"[FAIL] final_communication_mb: mps=2578.125000  cuda=1863.125000  |Δ|=715.000000  (atol=0.01); [FAIL] switch_round_exact: mps=None  cuda=9  (hard match, no tolerance)"
26,PASS,iid,exp_llama3_flora_iid,flora,iid,42,,results/raw/exp_llama3_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_043024/results.json,0,17,
27,PASS,iid,exp_llama3_flora_iid,flora,iid,123,,results/raw/exp_llama3_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_053535/results.json,0,17,
28,PASS,iid,exp_llama3_flora_iid,flora,iid,456,,results/raw/exp_llama3_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_064055/results.json,0,17,
29,PASS,iid,exp_llama3_reverse_adaptive_iid,reverse_adaptive,iid,42,,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_074605/results.json,0,17,
30,PASS,iid,exp_llama3_reverse_adaptive_iid,reverse_adaptive,iid,123,,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_084409/results.json,0,17,
31,PASS,iid,exp_llama3_reverse_adaptive_iid,reverse_adaptive,iid,456,,results/raw/exp_llama3_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_094231/results.json,0,17,
32,PASS,iid,exp_llama3_two_phase_k8_iid,two_phase,iid,42,,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_42/phase1_cuda_rerun/20260715_103959/results.json,0,17,
33,PASS,iid,exp_llama3_two_phase_k8_iid,two_phase,iid,123,,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_123/phase1_cuda_rerun/20260715_113730/results.json,0,17,
34,PASS,iid,exp_llama3_two_phase_k8_iid,two_phase,iid,456,,results/raw/exp_llama3_two_phase_k8_iid/two_phase/seed_456/phase1_cuda_rerun/20260715_123413/results.json,0,17,
